diagram,average,stddev
y24a5s7d3.pdf,823.3095430891534,364.25533037812744
y24a5s1d1.pdf,971.5412412309751,474.5021695367352
y24a3s2d6.pdf,830.2530221496065,407.046340908414
y19a3s8d2.pdf,881.3525876509042,449.1936188842695
y18a4s13d1.pdf,570.7014035071188,273.316537420346
y23a5s2d1.pdf,796.3348046685392,393.5788202387352
y20a3s5d3.pdf,1004.8047011140172,425.36716716841823
y23a3s4d1.pdf,851.1851658302794,380.60664317878695
y22a6s8d2.pdf,696.440107500331,336.1188108801712
y18a5s11d1.pdf,1073.8003859991,518.3334736316408
y19a6s7d2.pdf,1183.8873162015495,602.582400052376
y19a3s7d7.pdf,1198.2128679756013,590.861722564254
y24a5s1d2.pdf,722.6894527109096,400.80617172562006
y20a3s1d4.pdf,1077.0561745572222,518.6556184288529
y22a3s1d4.pdf,594.9246801421888,302.5110912715925
y24a3s4d5.pdf,808.8292354537116,426.3124375273563
y24a3s6d3.pdf,667.7951233265127,348.3977744679716
y20a4s7d1.pdf,1673.1675782793022,830.0167779417029
y21a3s5d3.pdf,1191.8396647235272,563.282027196979
y23a5s6d2.pdf,1047.5816213437934,496.2044322421273
y19a3s4d4.pdf,1263.6279784228866,651.6675924023451
y24a3s7d3.pdf,844.2045554099041,384.5356000287795
y20a3s4d3.pdf,910.2613846054259,385.3987697128951
y22a6s7d2.pdf,456.4745527911752,236.23137054987936
y24a3s3d8.pdf,404.3782548287846,197.5591734686763
y21a5s2d1.pdf,1318.3023095135277,676.1503129843015
y24a5s2d1.pdf,878.0618208475515,411.65829688515714
y19a3s1d1.pdf,1625.2728853554054,760.6580870385804
y24a3s2d3.pdf,622.6616279000397,298.5887818951613
y19a3s3d2.pdf,1041.9680608899794,493.1039956858661
y21a6s2d1.pdf,1694.7353565255262,844.5964485476242
y22a5s9d2.pdf,565.7743043917432,275.9723070668809
